name,status,street,city,state,zip,phone,Latitude,Longitude,"Accuracy Score",Street,City,State,County,Zip
"My Secret Garden Salon",,"5913 W Hillsboro Blvd",Parkland,FL,33067,954-341-5388,26.310079,-80.23727,0.27," ",Parkland,FL,"Broward County",33067
"Nadwa Hair Spa","Eufora semi exclusive","6923 Orchard Lake","West Bloomfield",MI,48322,248-851-8100,42.533326020408,-83.360320520408,0.8,"6923 Orchard Lk","West Bloomfield",MI,"Oakland County",48322
"Natural Elements Salon","Eufora exclusive","2212 N Lincoln Ave",Chicago,IL,60614,773-477-2500,41.922206307692,-87.644232384615,1,"2212 N Lincoln Ave",Chicago,IL,"Cook County",60614
"Naturals La Siesta",,"13295 Monterey Road","San Martin",CA,95046,408-683-2200,37.095197615385,-121.61640192308,1,"13295 Monterey Rd","San Martin",CA,"Santa Clara County",95046
"Nautical Mile Hair Salon",,"22338 E 10 Mile Road","St Clair Shores",MI,48080,586-773-0013,,,0,,,,,
"Navii Salon Spa",,"316 E Us Highway 30",Schererville,IN,46375,"(219) 865-6515",41.487733,-87.441525,0.33," ",Schererville,IN,"Lake County",46375
"New Attitude Deane Calvin",,"701 Howe Avenue",Sacramento,CA,95825,916-801-1116,38.578439823529,-121.41533264706,1,"701 Howe Ave",Sacramento,CA,"Sacramento County",95825
"New Image",,"187 Cambridge St",Burlington,MA,1803,781-272-9540,42.510699769231,-71.200536923077,1,"187 Cambridge St",Burlington,MA,"Middlesex County",01803
"New Image Hair Studio","Eufora exclusive","40 Sunnybrae Cetner Suite 50",Arcata,CA,95521,707-822-3884,40.857329733333,-124.07255331111,1,"40 Sunnybrae Cetner",Arcata,CA,"Humboldt County",95521
"New Image Salon",,"1481 Foothill Blvd","La Verne",CA,91750,909-596-8292,34.116676428571,-117.77533742857,1,"1481 Foothill Blvd","La Verne",CA,"Los Angeles County",91750
"New Image Salon Of Ephrata",,"3440 D Rothsville Road",Ephrata,PA,17522,"(717) 733-7365",40.17982,-76.17884,0.33," ",Ephrata,PA,"Lancaster County",17522
"New Reflections Salon","Eufora semi exclusive","7161 W Q Ave",Kalamazoo,MI,49009,269-375-7595,42.201051333333,-85.689584666667,1,"7161 W Q Ave",Kalamazoo,MI,"Kalamazoo County",49009
"New Wave At The Promanade",,"5225 Pooks Hill Road",Bethesda,MD,20814,301-530-9306,39.014668938776,-77.106907734694,1,"5225 Pooks Hill Rd",Bethesda,MD,"Montgomery County",20814
"New Wave Salon","Eufora exclusive","1069 N Bagley",Alpena,MI,49707,989-354-8304,45.033143,-83.495091,0.33," ",Alpena,MI,"Alpena County",49707
"Newbury North","Eufora semi exclusive","18 Lafeyette Rd","North Hampton",NH,3862,603-964-3313,42.997219272727,-70.815679363636,1,"18 Lafeyette Rd","North Hampton",NH,"Rockingham County",03862
"Nicks Hair Designs",,"3208 Watson Blvd",Endicott,NY,13760,607-748-9138,42.110693054348,-76.022378391304,1,"3208 Watson Blvd",Endicott,NY,"Broome County",13760
"Nicola B Hair Studio",,"10246 Donner Pass Rd Suite B4",Truckee,CA,96161,530-386-6610,39.326621254545,-120.18843592727,1,"10246 Donner Pass Rd",Truckee,CA,"Nevada County",96161
"Nicole Bratt Maloney",,"644 Zion Street Suite B","Nevada City",CA,95959,"530-477- 1883",39.255009321429,-121.02527153571,1,"644 Zion St","Nevada City",CA,"Nevada County",95959
"Nicole Bryan Salon",,"13190 Hazel Dell Parkway",Carmel,IN,46033,317-815-6620,39.986636,-86.070544,1,"13190 Hazel Dell Pkwy",Carmel,IN,"Hamilton County",46033
"Nicole Rhodes",,"12621 Porter St",Carleton,MI,48117,734-654-8781,42.057995276596,-83.39795,1,"12621 Porter St",Carleton,MI,"Monroe County",48117
"Nicolle Aileen Salon","Eufora exclusive","8975 W Charleston Blvd Suite 120","Las Vegas",NV,89117,408-612-1120,36.159036060606,-115.28746739394,1,"8975 W Charleston Blvd","Las Vegas",NV,"Clark County",89117
"Noras Hair Salon",,"7223 Church Street",Highland,CA,92346,909-864-6690,34.124014,-117.173827,1,"7223 Church St",Highland,CA,"San Bernardino County",92346
"Noufal Hair Studio",,"8605 Westwood Center Suite160",Vienna,VA,22182,703-893-7711,38.928759555877,-77.245069083529,1,"8605 Westwood Center Dr",Vienna,VA,"Fairfax County",22182
"Nu Moda Salon",,"198 Closter Dock Road",Closter,NJ,7624,"(201) 750-8828",40.973211,-73.961841,1,"198 Closter Dock Rd",Closter,NJ,"Bergen County",07624
"NY Hair Co",,"32 Main St",ORLEANS,MA,2653,508-240-1016,41.788317,-69.9920035,1,"32 Main St",Orleans,MA,"Barnstable County",02653
"NYNE Hairspa","Eufora exclusive","11650 Lantern Rd Suite 123",Fishers,IN,46038,317-517-4567,39.957327318182,-86.013286159091,1,"11650 Lantern Rd",Fishers,IN,"Hamilton County",46038
"O Dears Salon And Spa",,"2415 Maloney Drive",Bloomington,IL,61704,"(309) 662-6622",40.476771,-88.992995,0.33," ",Bloomington,IL,"McLean County",61701
"Oasis Hair Salon",,"825 C Rockville Pike",Rockville,MD,20852,301-340-2424,39.075554285714,-77.180566061224,1,"825 C Rockville Pike",Rockville,MD,"Montgomery County",20850
"Odeon Salon",,"75 Southeast 4Th Ave","Delray Beach",FL,33483,561-276-7999,26.461202102041,-80.069051959184,1,"75 SE 4th Ave","Delray Beach",FL,"Palm Beach County",33483
"Oh Baby Hair And Day Spa","Eufora semi exclusive","909 S Eldorado Road",Bloomington,IL,61704,309-662-2229,40.473493,-88.951551,1,"909 S Eldorado Rd",Bloomington,IL,"McLean County",61704
"Oh My Hair Salon","Eufora semi exclusive","29 Broad St",Berlin,MD,21811,"(443) 513-4451",38.325297636364,-75.220502,1,"29 Broad St",Berlin,MD,"Worcester County",21811
"Oliva Salon And Spa","Eufora exclusive","14524 N Florida Ave",Tampa,FL,33613,813-443-2130,28.0787414,-82.4594798,1,"14524 N Florida Ave",Tampa,FL,"Hillsborough County",33613
"On To New Hair",,"1050 17Th Street Suite170",Denver,CO,80265,303-572-0908,39.743248,-104.97408444898,1,"1050 17th St",Denver,CO,"Denver County",80218
"One2One Studio Salon Ltd","Eufora exclusive","1400 E Hampden Ave Suite120","Cherry Hills Village",CO,80113,303-781-2602,39.653137,-104.969572,1,"1400 E Hampden Ave",Englewood,CO,"Arapahoe County",80113
Opulence,,"450 E Tudor Rd",Anchorage,AK,99503,907-562-2060,61.180802727273,-149.87660663636,1,"450 E Tudor Rd",Anchorage,AK,"Anchorage Municipality",99503
"Ovations Salon And Spa","Eufora semi exclusive","2461 Hwy 7",Excelsior,MN,55331,952-474-8777,44.851364400001,-93.857572800006,1,"2461 Hwy 7",Excelsior,MN,"Hennepin County",55331
"Oxygen Salon","Eufora semi exclusive","5267 Nicholson Lane",Kensington,MD,20895,301-861-9340,39.044061707317,-77.124103780488,1,"5267 Nicholson Ln",Rockville,MD,"Montgomery County",20852
"Paige Ryan Salon","Eufora semi exclusive","1056 Ann Arbor Rd West",Plymouth,MI,48170,734-667-4564,42.356293117647,-83.381342176471,1,"1056 Ann Arbor Rd W",Plymouth,MI,"Wayne County",48170
"Palazzi Salon","Eufora semi exclusive","274 E Campbell Ave",Campbell,CA,95008,"(408) 370-0472",37.28703,-121.94356,1,"274 E Campbell Ave",Campbell,CA,"Santa Clara County",95008
Panache,"Eufora exclusive","747 West Lancaster Blvd",Lancaster,CA,93534,661-942-8737,34.69767662069,-118.14339724138,1,"747 W Lancaster Blvd",Lancaster,CA,"Los Angeles County",93534
"Paparazzi Day Spa","Eufora exclusive","4971 Bear Road",Liverpool,NY,13088,315-451-9509,43.135236428571,-76.172336666667,1,"4971 Bear Rd",Liverpool,NY,"Onondaga County",13088
"Paradiso Salon And Spa","Eufora semi exclusive","750 San Benito Street",Hollister,CA,95023,831-636-7727,36.848726636364,-121.40224436364,1,"750 San Benito St",Hollister,CA,"San Benito County",95023
"Parlor Salon","Eufora semi exclusive","115 W Broad Street",Richmond,VA,23220,804-338-7973,37.544622517808,-77.440633033956,1,"115 E Broad St",Richmond,VA,"Richmond city",23219
"Paul Edward Salonspa","Eufora exclusive","4 Orchard View Dr",Londonderry,NH,3053,603-432-4247,42.859831,-71.355117666667,1,"4 Orchard View Dr",Londonderry,NH,"Rockingham County",03053
"Paul James Salon","Eufora semi exclusive","132 Se 1St Street","Fort Lauderdale",FL,33301,"954 763-6100",26.121551040816,-80.141748489796,1,"132 SE 1st St","Fort Lauderdale",FL,"Broward County",33301
"Paul Jordan Salon","Eufora exclusive","6986 El Camino Real",Carlsbad,CA,92009,760-438-0505,33.102263,-117.266493,1,"6986 El Camino Real",Carlsbad,CA,"San Diego County",92009
"Pavlova Salon","Eufora semi exclusive","418 No Country Road","St  James",NY,11780,631-862-7320,,,0,,,,,
"Pavlova Salon",,"6251 Rt 25A","Wading River",NY,11792,631-929-6360,40.939418387755,-72.919546163265,1,"6251 Rt 25a","Wading River",NY,"Suffolk County",11792
"Peabodys Prim And Proper Parlor",,"4612 Stratford Ave",Indianpolis,IN,46201,317-332-9725,39.779492,-86.132837,0.22," ",Indianapolis,IN,"Marion County",46298
"Pearl Medispa",,"4770 South Emerson",Indianapolis,IN,46203,"(317) 757-8258",39.779492,-86.132837,0.33," ",Indianapolis,IN,"Marion County",46298
"Perfect Endings","Eufora semi exclusive","121 S Washington St","Falls Churck",VA,22046,703-241-8222,,,0,,,,,
"Perfect Image Styling Salon",,"616 South State St","North Warren",PA,16365,814-726-4007,41.864961,-79.153568,1,"616 S State St",Warren,PA,"Warren County",16365
"Perfections Day Spa",,"3206 A Iron Bound Rd",Williamsburg,VA,23185,"(757) 345-0308",37.34822,-76.773832,0.33," ",Williamsburg,VA,"Williamsburg city",23188
"Peridot Beauty Parlor","Eufora semi exclusive","2084 E Main St",Spartanburg,SC,29307,864-699-9847,34.972247857143,-81.884688571429,1,"2084 E Main St",Spartanburg,SC,"Spartanburg County",29307
"Personal Touch Abby Carranza","Eufora exclusive","936 S Main St",Salinas,CA,93901,831-759-2200,36.664054913043,-121.65727523913,0.8,"936 S Main St",Salinas,CA,"Monterey County",93901
Peruzzi,"Eufora exclusive","68 New York Ave",Halesite,NY,11743,631-351-1334,40.888715540541,-73.415407027027,1,"68 New York Ave",Huntington,NY,"Suffolk County",11743
"Peter Alexandra Salon And Spa",,"140 W Main Street","E Islip",NY,11730,631-650-6455,,,0,,,,,
"Peter Brokt Hair Design","Eufora semi exclusive","5225 Pooks Mill Rd",Bethesda,MD,20814,301-530-9306,38.989586,-77.153801,0.33," ",Bethesda,MD,"Montgomery County",20817
"Philip Salon",,"13 Danbury Rd",Wilton,CT,6897,203-761-4922,41.196422,-73.430962,1,"13 Danbury Rd",Wilton,CT,"Fairfield County",06897
"Philip Tederous At Summerlin Barber Shop","Eufora exclusive","8975 W Charleston Blvd Suite 130 Studio 2","Las Vegas",NV,89117,702-876-7771,36.169069,-115.208529,0.33," ","Las Vegas",NV,"Clark County",89107
"Phillip Mark Salon",,"27 Webster Street",Manchester,NH,3104,603-622-5225,43.006206175,-71.46599905,1,"27 Webster St",Manchester,NH,"Hillsborough County",03104
"Pilo Arts",,"8412 3Rd Avenue",Brooklyn,NY,11209,718-748-7411,40.624722755371,-74.030713031904,1,"8412 3rd Ave",Brooklyn,NY,"Kings County",11209
"Pin Curls","Eufora semi exclusive","1656 W Chicago Ave",Chicago,IL,60622,312-243-4446,41.896039647059,-87.669263205882,1,"1656 W Chicago Ave",Chicago,IL,"Cook County",60622
"Pin Up Curls","Eufora semi exclusive","6222 Covington Rd","Fort Wayne",IN,46806,260-267-9659,41.059728393103,-85.221694793103,1,"6222 Covington Rd","Fort Wayne",IN,"Allen County",46804
"Pinnokios Salon",,"4179 Hamilton Ave",Cincinnati,OH,45223,"(513) 541-4668",39.163231833333,-84.539976333333,1,"4179 Hamilton Ave",Cincinnati,OH,"Hamilton County",45223
"Pistachio Hair Studio","Eufora semi exclusive","1691 Melrose Dr Suite 110",Carlsbad,CA,92078,760-350-5005,33.161645666667,-117.24207666667,1,"1691 Melrose Dr",Oceanside,CA,,92081
"Pizazz Salon And Spa","Eufora semi exclusive","7676 Jackson Drive Suite 5","San Diego",CA,92119,619-582-7459,32.806196217391,-117.04831126087,1,"7676 Jackson Dr","San Diego",CA,"San Diego County",92119
"Platinum Hair Studio",,"910 Sheraton Drive",Mars,PA,16046,"(724) 776-2332",40.672910119048,-80.096843690476,1,"910 Sheraton Dr",Mars,PA,"Butler County",16046
"Platinum Salon",,"2112 Armory Dr","Santa Rosa",CA,95401,707-546-1886,38.45933722449,-122.72482989796,1,"2112 Armory Dr","Santa Rosa",CA,"Sonoma County",95401
"Platinum Salon",,"4731 Butler Street",Pittsburgh,PA,15201,"(412) 682-1600",40.474777714286,-79.957713857143,1,"4731 Butler St",Pittsburgh,PA,"Allegheny County",15201
"Plaza Hair Design","Eufora semi exclusive","7068 Columbia Rd","Olmsted Falls",OH,44138,440-235-4247,41.386024714286,-81.903011357143,1,"7068 Columbia Rd","Olmsted Falls",OH,"Cuyahoga County",44138
"Pluma Designs Hair Studio","Eufora exclusive","7000 East Shea Blvd Suite 1607",Scottsdale,AZ,85234,480-922-9315,33.582163,-111.92926,1,"7000 E Shea Blvd",Scottsdale,AZ,"Maricopa County",85254
"Plush Salon",,"369 Mammaronack Ave","White Plains",NY,10605,914-997-9277,41.023994,-73.762785,1,"369 Mammaronack Ave","White Plains",NY,"Westchester County",10605
"Poise Hair Salon","Eufora exclusive","631 S Melrose Dr Suite 103",Vista,CA,92081,760-295-2436,33.185639344828,-117.2533117931,1,"631 S Melrose Dr",Oceanside,CA,,92081
"Polished Hair Design","Eufora exclusive","3743 West Lake Rd",Erie,PA,16505,814-838-2303,42.096888,-80.169854428571,1,"3743 W Lake Rd",Erie,PA,"Erie County",16505
"Polynesian Clips","Eufora semi exclusive","8829 Jody Circle","Cottage Grove",MN,55016,"(651) 768-0828",44.823373857143,-92.912352857143,1,"8829 Jody Cir","Cottage Grove",MN,"Washington County",55016
"Pomegranate Salon",,"6213 Jefferson Ave",Midland,MI,48640,989-486-9003,43.653217719178,-84.22687219863,1,"6213 Jefferson Ave",Midland,MI,"Midland County",48640
Posh,"Eufora exclusive","1119 Marshall St Suite 203",Manitowoc,WI,54220,920-684-5005,44.087177897959,-87.663141755102,1,"1119 Marshall St",Manitowoc,WI,"Manitowoc County",54220
Possibilities,"Eufora exclusive","1833 West 26Th St",Erie,PA,16508,814-722-6561,42.096679387755,-80.114869469388,1,"1833 W 26th St",Erie,PA,"Erie County",16508
"Preferred Hair Salon",,"1330 N Roselle Rd",Schaumburg,IL,60195,847-310-0606,42.055623018519,-88.079610277778,1,"1330 N Roselle Rd",Schaumburg,IL,"Cook County",60195
"Premier Salon Suites",,"305 Vertin Blvd",Shorewood,IL,60404,815-267-3388,41.539716669231,-88.195320630769,1,"305 Vertin Blvd",Shorewood,IL,,60404
"Prima Salon","Eufora semi exclusive","1420 Beverly Road","Mc Lean",VA,22101,"(703) 848-2540",38.920165,-77.229043,0.22," ",McLean,VA,"Fairfax County",22109
"Prime Cuts Hair Design","Eufora exclusive","3750 Fortune Blvd",Saginaw,MI,48603,989-792-5151,43.461427333333,-83.979804,1,"3750 Fortune Blvd",Saginaw,MI,"Saginaw County",48603
"Pringle Park Plaza Hair Design","Eufora exclusive","380 Liberty St Se",Salem,OR,97301,"(503) 362-0802",44.937474918919,-123.04007394595,1,"380 Liberty St SE",Salem,OR,"Marion County",97301
"Pristine Ava Salon 55 Studio Salon Suites","Eufora semi exclusive","1725 Iron Point Rd Suite 120",Folsom,CA,95630,916-224-3779,38.646060644295,-121.12252826846,1,"1725 Iron Point Rd",Folsom,CA,"Sacramento County",95630
"Private Style",,"9368 Indian field dr",Mechanicsville,VA,231156,"(804) 550-1579",37.694377231442,-77.415607747729,1,"9368 Indianfield Dr",Mechanicsville,VA,"Hanover County",23116
"Pro Modern Salon","Eufora semi exclusive","662 Janesville St",Oregon,WI,53575,608-835-1900,42.919298106195,-89.375890424779,1,"662 Janesville St",Oregon,WI,"Dane County",53575
"Profiles Hair Studio",,"10 Church Street","Liberty Corner",NJ,7938,"(908) 647-0504",40.655399,-74.586151,0.33," ","Liberty Corner",NJ,"Somerset County",07938
"Pure Bliss Salon",,"5405 Gateway Center",Flint,MI,48507,810-820-6377,44.662952,-84.089518,0.22," ",Mio,MI,"Oscoda County",48647
"Pure Blowout Bar","Eufora semi exclusive","1031  S Coast Highway 101",Encinitas,CA,92024,760-487-1500,33.044605484581,-117.29365753744,1,"1031 S Coast Highway 101",Encinitas,CA,"San Diego County",92024
"Pure Hair Salon","Eufora semi exclusive","731 Route 35 North","Ocean Township",NJ,7712,"(732) 898-9200",,,0,,,,,
"Pure Hair Studio","Eufora exclusive","187 Blue Ravine Rd",Folsom,CA,95630,916-351-0054,38.653072333333,-121.185658,1,"187 Blue Ravine Rd",Folsom,CA,"Sacramento County",95630
"Q Salon and Spa","Eufora semi exclusive","3507 Round Lake Blvd Suite 600",Anoka,MN,55303,763-323-7181,45.218414877551,-93.357331428571,1,"3507 Round Lake Blvd",Anoka,MN,"Anoka County",55303
"R Studio",,"2125 South Broadway Suite 102","Santa Maria",CA,93454,805-314-2235,34.922004923077,-120.43610576923,1,"2125 S Broadway","Santa Maria",CA,"Santa Barbara County",93454
"Randolph Cree",,"325 7Th Street",Washington,DC,20003,"(202) 547-1014",38.885009530612,-76.996176959184,1,"325 7th St",Washington,DC,"District of Columbia",20003
"Raymonds Hair Stylists",,"108 Old Solomons Island",Annapolis,MD,21401,410-266-8201,38.98765,-76.472326,0.33," ",Annapolis,MD,"Anne Arundel County",21402
"Rebeccas Chop Shop",,"4024 County Rd Suite129",Hesperus,CO,81326,970-946-1636,37.205423,-108.138519,0.33," ",Hesperus,CO,"La Plata County",81326
"Reids Salon Solution",,"19900 South Main Street",Cornelius,NC,28031,704-892-6600,35.480058767677,-80.857151414141,1,"19900 S Main St",Cornelius,NC,"Mecklenburg County",28031
"Relish Salon","Eufora semi exclusive","924 Garrett Stree Suite F And G",Atlanta,GA,30316,404-248-1009,33.895246897959,-84.36668044898,1,"924 Garrett Stree Suite F And G",Atlanta,GA,"Fulton County",30342
"Renaissance Day Spa",,"5211 Buckeystown Pike",Frederick,MD,21703,301-682-3313,39.373402,-77.410499,1,"5211 Buckeystown Pike",Frederick,MD,"Frederick County",21704
"Rendezvous Salon",,"5299 Scotts Valley Drive","Scotts Valley",CA,95066,831-430-9157,37.056822673469,-122.01136232653,1,"5299 Scotts Valley Dr","Scotts Valley",CA,"Santa Cruz County",95066
"Renees Uptown Salon","Eufora semi exclusive","2710 Alpine Boulevard Suite L",Alpine,CA,91901,619-445-4031,32.834643431373,-116.7559217451,1,"2710 Alpine Blvd",Alpine,CA,"San Diego County",91901
"Results Hair Design",,"4337 Union Deposit Road",Harrisburg,PA,17111,"(717) 561-0499",40.279249228571,-76.812619828571,1,"4337 Union Deposit Rd",Harrisburg,PA,"Dauphin County",17111
"Revive Salon",,"1601 Hopkins Street",Berkeley,CA,94707,510-559-3375,37.882438,-122.280287,1,"1601 Hopkins St",Berkeley,CA,"Alameda County",94707
"Revive Salon","Eufora Exclusive","5565 Lake Murray Blvd","La Mesa",CA,91942,619-460-8483,32.78036725641,-117.03453492308,1,"5565 Lake Murray Blvd","La Mesa",CA,"San Diego County",91942
Revolution,"Eufora exclusive","1012 Marquez Suite 209A","Santa Fe",NM,87505,505-984-2887,35.674359333333,-105.95017066667,1,"1012 Marquez","Santa Fe",NM,"Santa Fe County",87505
"Ri Jon Salon",,"2118 Deer Park Ave","Deer Park",NY,11729,631-586-8650,40.773174176471,-73.334037764706,1,"2118 Deer Park Ave","Deer Park",NY,"Suffolk County",11729
"Riah Salon","Eufora semi exclusive","8025 Wicker Ave","St John",IN,46373,219-365-6123,,,0,,,,,
"Ricadonna Salon And Boutique","Eufora semi exclusive","24540 Village Walk Place",Murrieta,CA,92562,951-600-5799,33.548299,-117.344739,0.33," ",Murrieta,CA,"Riverside County",92562
"Richard Anthony Hair Design Team","Eufora semi exclusive","1265 W 86th St Ste FI",Indianapolis,IN,46260,317-872-2426,39.912252369128,-86.182085604027,1,"1265 W 86th St",Indianapolis,IN,"Marion County",46278
"Rimage Salon and Spa","Eufora exclusive","1210 Chapel Street","New Haven",CT,6511,203-776-4248,41.3091255,-72.934818,1,"1210 Chapel St","New Haven",CT,"New Haven County",06511
"Rituals Salon Spa","Eufora semi exclusive","11400 W Huguenot Rd",Midlothian,VA,23113,804-794-6699,37.525663665421,-77.609519481033,1,"11400 W Huguenot Rd",Midlothian,VA,"Chesterfield County",23113
"Robins Nest","Eufora exclusive","1455 Whisonant Rd","Rock Hill",SC,29730,803-493-1321,34.894792805369,-81.122276624161,1,"1455 Whisonant Rd","Rock Hill",SC,"York County",29730
"Robyn Michelle Salon","Eufora semi exclusive","31 S Main St Suite 8","Winter Garden",FL,34787,407-595-7125,28.548663510204,-81.584989653061,1,"31 S Main St","Winter Garden",FL,"Orange County",34787
"Rock Paper Scissors",,"455 Carlisle St",Hanover,PA,17331,717-634-5403,39.806636538462,-76.989039538462,1,"455 Carlisle St",Hanover,PA,"York County",17331
"Rockstar Salon and Spa",,"25 E Main St",Roselle,IL,60172,630-529-0101,41.97985,-88.089628,0.33," ",Roselle,IL,"DuPage County",60172
"Rodney Laws Salon",,"2547 Housley Rd",Annapolis,MD,21401,"(410) 897-5999",38.990822888889,-76.550711611111,1,"2547 Housley Rd",Annapolis,MD,"Anne Arundel County",21401
Roots,,"516 East Locust Street   In Rear",Mechanicsburg,PA,17055,"(717) 790-0777",40.182917,-77.004599,0.33," ",Mechanicsburg,PA,"Cumberland County",17055
"Roots Salon",,"11671 Duenda","San Diego",CA,92127,858)485-1140,33.033472142857,-117.08027771429,1,"11671 Duenda","San Diego",CA,"San Diego County",92127
"Roots Salon","Eufora semi exclusive","11 Main Street","Essex Jct",VT,5452,802-878-1066,,,0,,,,,
"Rozanne Bartee",,"3161 Cameron Park Drive","Cameron Park",CA,95682,530-672-0608,38.690823675,-120.992852195,0.8,"3161 Cameron Park Dr","Shingle Springs",CA,"El Dorado County",95682
"Rumours Salon And Spa","Eufora semi exclusive","4210 Capitola Rd",Capitola,CA,95010,831-476-4444,36.973725862745,-121.96187872549,1,"4210 Capitola Rd",Capitola,CA,"Santa Cruz County",95010
"Sage Salon","Eufora semi exclusive","113 W Historic Columbia River Hwy",Troutdale,OR,97060,503-912-0610,45.540767,-122.39054,1,"113 W Historic Columbia River Hwy",Troutdale,OR,"Multnomah County",97060
"Salon 1500 Boutique",,"13727 Camino Canada Suite A2","El Cajon",CA,92021,619-443-1501,33.016928,-116.846046,0.33," ","El Cajon",CA,"San Diego County",92090
"Salon 18","Eufora semi exclusive","18 S Main St",Minot,ND,58701,701-839-1818,48.236289647059,-101.29303837255,1,"18 S Main St",Minot,ND,"Ward County",58701
"Salon 188",,"363 Village Square Lane Suite 105","Castle Rock",CO,80108,720-733-8550,39.470950816327,-104.87888185714,1,"363 Village Square Ln","Castle Rock",CO,"Douglas County",80108
"Salon 2 Be Your Self",,"607 Ashman St",Midland,MI,48642,989-631-9419,43.626688683453,-84.221161079137,1,"607 Ashman St",Midland,MI,"Midland County",48642
"Salon 218","Eufora semi exclusive","218 5Th St",Hollister,CA,95023,831-637-0139,36.851460387755,-121.40186714286,1,"218 5th St",Hollister,CA,"San Benito County",95023
"Salon 29 Inc","Eufora semi exclusive","27476 Ynez Road",Temecula,CA,92591,951-699-3746,33.506391622222,-117.15014266667,1,"27476 Ynez Rd",Temecula,CA,"Riverside County",92591
"Salon 2One8","Eufora semi exclusive","218 N Glendora Ave",Glendora,CA,91784,626-914-2218,34.138838565217,-117.86544291304,1,"218 N Glendora Ave",Glendora,CA,"Los Angeles County",91741
"Salon 308","Eufora semi exclusive","308 Conant St",Maumee,OH,43537,419-873-8628,41.562386195876,-83.65364456701,1,"308 Conant St",Maumee,OH,"Lucas County",43537
"Salon 4","Eufora semi exclusive","130 Rollins Avenue",Rockville,MD,20852,301-964-1177,39.058586693878,-77.124969040816,1,"130 Rollins Ave",Rockville,MD,"Montgomery County",20852
"Salon 500",,"500 East Broadway","Long Beach",CA,90802,562-435-8340,33.769295,-118.18571,1,"500 E Broadway","Long Beach",CA,"Los Angeles County",90802
"Salon 6","Eufora exclusive","6378 N College Ave",Indianapolis,IN,46220,317-475-0997,39.872410625,-86.146220875,1,"6378 N College Ave",Indianapolis,IN,"Marion County",46220
"Salon 730","Eufora semi exclusive","730 Kenmore Ave",Fredricksburg,VA,22401,540-373-6040,38.21894,-77.444023,0.22," ",Fredericksburg,VA,"Fredericksburg city",22408
"Salon Allure","Eufora semi exclusive","31 D East Frederick Street",Walkersville,MD,21793,301-845-2300,39.491247,-77.343542,0.33," ",Walkersville,MD,"Frederick County",21793
"Salon Argyll","Eufora semi exclusive","11818 Se Mill Plain Blvd Suite 109",Vancouver,WA,98684,360-258-1299,45.620464727273,-122.54957336364,1,"11818 SE Mill Plain Blvd",Vancouver,WA,"Clark County",98684
"Salon Aria","Eufora exclusive","6325 Main St Suite 140",Woodridge,IL,60517,630-769-1956,41.770607714286,-88.071067714286,1,"6325 Main St",Woodridge,IL,"DuPage County",60517
"Salon Art Tiff","Eufora semi exclusive","194 N Reading Rd",Ephrata,PA,17522,717-733-4331,40.188408375,-76.182139875,0.8,"194 N Reading Rd",Ephrata,PA,"Lancaster County",17522
"Salon Artistry","Eufora semi exclusive","735 N Court St",Medina,OH,44256,330-721-1500,41.1455765,-81.8640695,0.8,"735 N Court St",Medina,OH,"Medina County",44256
"Salon At The Hotel Del Coronado",,"1500 Orange Ave",Coronado,CA,92118,619-522-8808,32.682241107143,-117.17803321429,1,"1500 Orange Ave",Coronado,CA,"San Diego County",92118
"Salon Awesome","Eufora semi exclusive","290 S Main St",Plymouth,MI,48170,734-927-0800,42.371241571429,-83.468612571429,1,"290 S Main St",Plymouth,MI,"Wayne County",48170
"Salon Azano","Eufora exclusive","450 Livingston Street",Norwood,NJ,7648,201-750-3322,40.997809752941,-73.954990494118,1,"450 Livingston St",Norwood,NJ,"Bergen County",07648
"Salon Bellisimo  Rozanne Bartee","Eufora exclusive","3161 Cameron Park Drive Suite107","Cameron Park",CA,95682,530-672-0608,38.690823675,-120.992852195,0.8,"3161 Cameron Park Dr","Shingle Springs",CA,"El Dorado County",95682
"Salon Bleu",,"106 25Th Street",Ogden,UT,84401,801-866-0246,41.220727265306,-111.97625738776,1,"106 25th St",Ogden,UT,"Weber County",84401
"Salon Bliss","Eufora exclusive","41920 6th St SuiteG",Temecula,CA,92590,951-312-6200,33.496241877551,-117.15049353061,1,"41920 6th St",Temecula,CA,"Riverside County",92590
"Salon Bliss ",,"15809 City View Dr","Midlothian ",VA,23113,"(804) 586-7600",37.513609476307,-77.698128335601,1,"15809 City View Dr",Midlothian,VA,"Chesterfield County",23113
"Salon Boheme","Eufora exclusive","1055 Marine Dr",Astoria,OR,97103,503-338-3864,46.189731183673,-123.8321632449,1,"1055 Marine Dr",Astoria,OR,"Clatsop County",97103
"Salon by Sabrina","Eufora semi exclusive","3344 Secor Dr",Toledo,OH,43606,419-720-2972,41.678294288591,-83.622684328859,1,"3344 Secor Dr",Toledo,OH,"Lucas County",43606
"Salon By The Cove  Debbie Ballow",,"128 South Acacia Avenue","Solana Beach",CA,92075,619-851-3758,32.990972428571,-117.27221442857,1,"128 S Acacia Ave","Solana Beach",CA,"San Diego County",92075
"Salon C P",,"Eastgate Shopping Plaza",Greensburg,PA,15601,"(724) 836-8705",47.613825,-122.144365,0.6," ",Eastgate,WA,"King County",98007
